Player,Team,Matches,Innings,Runs,Average,Strike Rate,100s,50s,High Score
Mineth Premarathne,Bloomfield Cricket and Athletic Club,8,14,329,25.31,56.14,1,1,103*
Lahiru Madushanka,Bloomfield Cricket and Athletic Club,9,14,326,27.17,56.3,0,1,92
Suminda Lakshan,Badureliya Sports Club,7,10,322,40.25,73.34,0,3,66
Vishad Randika,Police Sports Club,9,14,320,24.62,55.84,0,1,91
Sasindu Malshan,Panadura Sports Club,9,13,313,28.45,45.76,0,1,65
Sahan Arachchige,Nondescripts Cricket Club,10,13,309,23.77,62.29,0,2,76
Vinura Dulsara,Badureliya Sports Club,8,14,305,27.73,45.45,0,3,67*
Vinuka Rubasinghe,Nondescripts Cricket Club,5,9,304,38,58.01,0,3,77
Vihas Thevmika,Tamil Union Cricket and Athletic Club,7,12,290,26.36,52.06,0,1,63
Sithara Gimhana,Moors Sports Club,8,10,287,31.89,43.81,0,1,76
Irosh Samarasooriya,Panadura Sports Club,7,11,287,28.7,49.82,0,2,96
Kavindu Amantha ,Ace Capital Cricket Club,5,9,284,35.5,56.57,0,2,75
Risith Upamal,Burgher Recreation Club,6,10,281,35.13,52.32,1,0,151
Tharindu Harshana,Bloomfield Cricket and Athletic Club,7,9,279,31,50.91,0,2,89
Isitha Dew Wijesundara,Ace Capital Cricket Club,10,16,272,18.13,65.85,0,0,41
Lahiru Samarakoon,Tamil Union Cricket and Athletic Club,8,12,266,26.6,65.84,0,1,73
Maduka Liyanapathiranage,Nugegoda Sports and Welfare Club,9,14,266,20.46,40.98,0,1,60
Sahan Kosala,Colombo Cricket Club,7,9,261,29,67.09,0,2,81
Movin Subasinghe,Burgher Recreation Club,7,9,260,28.89,94.89,0,2,90
Saminda Fernando,Burgher Recreation Club,7,9,257,28.56,52.55,0,2,92
Alankara Asanka,Badureliya Sports Club,8,11,257,28.56,35.74,0,2,62
Rumesh Buddhika,Badureliya Sports Club,7,10,254,28.22,52.26,0,1,76
Avishka Tharindu,Police Sports Club,6,10,254,25.4,67.91,1,0,116
Shehan Jayasuriya,Panadura Sports Club,4,6,253,63.25,67.64,1,1,100*
Dunith Wellalage,Colts Cricket Club,4,5,246,61.5,67.95,0,3,99
Roshane Silva,Burgher Recreation Club,7,8,239,34.14,47.6,1,0,100*
Chamindu Wijesinghe,Colombo Cricket Club,10,11,230,23,48.21,0,2,72
Pawan Pathiraja,Ace Capital Cricket Club,5,10,229,28.63,56.82,0,2,68
Thikshila De Silva,Chilaw Marians Cricket Club,8,13,223,17.15,102.29,0,1,50
Pulindu Perera,Nugegoda Sports and Welfare Club,7,11,218,21.8,71,1,0,129*
Roshan Jayatissa,Ace Capital Cricket Club,10,13,216,18,52.81,0,1,56
Chamod Sandaru,Kurunegala Youth Cricket Club,4,7,215,43,43.96,0,2,92*
Sanoj Darshika,Colts Cricket Club,7,8,202,33.67,49.38,1,1,100*
Kavindu Pathiratne,Nondescripts Cricket Club,9,12,201,18.27,40.36,0,0,37
Dilum Sudeera,Police Sports Club,10,13,196,19.6,37.69,0,1,81*
Yasiru Rodrigo,Burgher Recreation Club,7,9,195,21.67,31.86,0,2,59
Chamikara Edirisinghe,Kurunegala Youth Cricket Club,9,12,194,21.56,29.98,0,0,45
Pramud Hettiwatte,Nugegoda Sports and Welfare Club,3,6,193,38.6,71.74,0,1,70
Sakuna Liyanage,Chilaw Marians Cricket Club,6,11,193,19.3,48.12,0,0,44
Nalin Priyadarshana,Police Sports Club,10,13,193,17.55,51.32,0,1,57
Kavishka Anjula,Colts Cricket Club,8,8,191,31.83,68.45,0,1,55*
Janishka Perera,Moors Sports Club,7,8,191,23.88,43.01,0,0,44
Shalith Fernando,Panadura Sports Club,5,7,189,27,52.64,0,1,90
Kamindu Mendis,Colombo Cricket Club,3,4,184,46,79.31,1,1,114
Nadeera Balasooriya,Police Sports Club,2,4,176,44,99.43,1,0,130
Dilhara Polgampola,Kurunegala Youth Cricket Club,5,9,175,21.88,33.58,0,1,58
Ayana Siriwardana,Badureliya Sports Club,3,5,171,34.2,79.9,0,2,89
Akila Dananjaya,Colts Cricket Club,10,10,171,19,69.23,0,0,43
Supun Madusanka,Police Sports Club,4,5,168,56,69.7,0,1,65
Jeffrey Vandersay,Bloomfield Cricket and Athletic Club,9,12,167,15.18,50.75,0,1,63
Chathuranga Kumara,Police Sports Club,5,7,161,23,60.52,0,0,48
Vijayakanth Viyaskanth,Tamil Union Cricket and Athletic Club,8,10,161,17.89,55.32,0,1,59
Yohan Suresh,Kurunegala Youth Cricket Club,3,5,154,30.8,90.58,0,1,85
Sandun Weerakkody,Badureliya Sports Club,6,10,153,15.3,93.86,0,0,44
Rashmika Hirushan Perera,Police Sports Club,4,7,150,25,55.35,0,1,70*
Tharindu Rathnayake,Tamil Union Cricket and Athletic Club,6,8,148,18.5,83.61,0,0,35
Dinushka Malan,Kurunegala Youth Cricket Club,9,11,144,16,42.98,0,0,34*
Gayana Weerasinghe ,Kurunegala Youth Cricket Club,5,8,143,20.43,50,0,1,52
Udayawansha Parakrama,Chilaw Marians Cricket Club,5,9,134,16.75,44.96,0,0,30
Himesh Ramanayake,Police Sports Club,6,7,133,22.17,40.67,0,1,70*
Sineth Jayawardena,Tamil Union Cricket and Athletic Club,5,9,130,14.44,62.5,0,0,29
Lahiru Jayarathne,Kurunegala Youth Cricket Club,7,8,129,18.43,60.84,0,1,57*
Thulina Dilshan,Tamil Union Cricket and Athletic Club,6,8,127,15.88,48.28,0,0,39
Vishwa Lahiru,Panadura Sports Club,6,5,124,31,68.88,0,1,52
Kasun Abeyratne,Bloomfield Cricket and Athletic Club,6,9,123,13.67,51.03,0,0,39
Lakvin Abeysinghe,Kurunegala Youth Cricket Club,2,4,122,30.5,61.61,0,1,85
Anuk Fernando,Nugegoda Sports and Welfare Club,8,11,122,12.2,48.8,0,0,28
Himasha Liyanage,Ace Capital Cricket Club,4,6,121,24.2,51.48,1,0,106*
Santhush Gunatilake,Moors Sports Club,7,8,121,20.17,41.01,0,1,55
Avishka Perera,Nugegoda Sports and Welfare Club,5,9,121,13.44,40.06,0,0,38
Ashian Daniel,Nondescripts Cricket Club,8,10,121,13.44,37.34,0,0,35*
Dulnith Sigera,Colombo Cricket Club,3,4,119,29.75,71.68,0,1,81
Murvin Abinash,Burgher Recreation Club,6,7,117,19.5,41.93,0,1,55
Hiran Jayasundara,Chilaw Marians Cricket Club,4,6,113,18.83,48.29,0,1,54
Dinuka Dilshan,Moors Sports Club,2,4,110,27.5,60.77,0,1,69
Duvindu Tillakaratne,Bloomfield Cricket and Athletic Club,8,11,109,12.11,45.41,0,0,32
Sukitha Manoj,Colts Cricket Club,4,5,108,21.6,44.81,0,1,53
Lahiru Kumara,Nondescripts Cricket Club,4,5,102,51,67.54,0,0,47
Rahul Gunasekara,Nugegoda Sports and Welfare Club,7,7,100,14.29,49.5,0,1,73
Raveen Yasas,Badureliya Sports Club,3,5,96,19.2,38.7,0,0,46
Chamika Gunasekara,Nondescripts Cricket Club,7,8,96,16,46.37,0,0,26
Nimsara Atharagalla,Chilaw Marians Cricket Club,7,10,95,13.57,29.68,0,0,33*
Nishan Peiris,Colombo Cricket Club,10,8,94,23.5,62.25,0,0,34
Dushan Hemantha,Panadura Sports Club,6,7,93,15.5,63.69,0,0,46
Isivara Dissanayake,Tamil Union Cricket and Athletic Club,3,5,92,18.4,35.11,0,1,54
Risira Weerasuriya,Burgher Recreation Club,3,4,91,22.75,44.6,0,1,58
Nipun Premarathna,Police Sports Club,7,9,91,13,29.44,0,0,38
Sheran Fonseka,Colts Cricket Club,6,5,89,17.8,41.39,0,0,27
Keshara Nuwantha,Badureliya Sports Club,5,5,85,17,57.43,0,0,46
Supun Waduge,Ace Capital Cricket Club,2,3,82,41,42.26,0,1,71*
Adeesha Thilanchana,Badureliya Sports Club,3,4,81,27,75.7,0,0,34
Roscoe Thattil,Badureliya Sports Club,2,4,79,19.75,45.14,0,0,40
