Rank,Player,Team,Quality (Raw),Consistency Quality-Weighted (Raw),Participation (Raw),Dominance (Raw),Quality (Norm),Consistency Quality-Weighted (Norm),Participation (Norm),Dominance (Norm),WBI Score
206,Himesh Ramanayake,Police Sports Club,57.1239,0.0026,0.4759,-0.71,0.1395,0.0056,0.3636,0.1403,0.1689
207,Kusal J Perera,Police Sports Club,86.8534,0.0034,0.2579,0.5027,0.2186,0.0073,0.09,0.3739,0.1675
208,Dunith Jayathunga,Badureliya Sports Club,80.0468,0.0027,0.4069,-0.8602,0.2005,0.0058,0.2771,0.1113,0.1673
209,Danal Hemananda,Ace Capital Cricket Club,55.7073,0.0064,0.4686,-0.6903,0.1357,0.0136,0.3545,0.1441,0.1673
210,Koshan Jayawickarama,Ragama Cricket Club,55.2622,0.0792,0.3597,-0.6088,0.1345,0.1693,0.2177,0.1598,0.1661
211,Kavindu Pathiratne,Nondescripts Cricket Club,60.3691,0.0037,0.4586,-0.7852,0.1481,0.008,0.342,0.1258,0.1652
212,SUKITHA MANOJ,Panadura Sports Club,55.6561,0.1356,0.2579,-0.4223,0.1356,0.29,0.09,0.1957,0.1641
213,Lahiru Jayarathne,Kurunegala Youth Cricket Club,60.1167,0.0063,0.4386,-0.6379,0.1475,0.0135,0.3169,0.1542,0.164
214,Navindu Nirmal,Burgher Recreation Club,79.0102,0.0134,0.3224,-0.2187,0.1977,0.0286,0.171,0.2349,0.1628
215,Chanaka Komasaru,Badureliya Sports Club,23.2164,0.0018,0.6048,-1.1622,0.0493,0.0038,0.5255,0.0532,0.1598
216,Aravinda Premarathne,Kurunegala Youth Cricket Club,51.9082,0.0033,0.4386,-0.4918,0.1256,0.0071,0.3169,0.1823,0.1582
217,Praveen Jayawickrama,Moors Sports Club,53.0022,0.0021,0.4531,-0.6835,0.1285,0.0045,0.3351,0.1454,0.1579
218,Gihan Koralage,Badureliya Sports Club,72.8433,0.0055,0.3497,-0.3615,0.1813,0.0117,0.2052,0.2074,0.1573
219,Tharindu Harshana,Bloomfield Cricket and Athletic Club,94.3731,0.0079,0.2479,-0.1262,0.2386,0.0169,0.0775,0.2527,0.1561
220,Vishwa Fernando,Colombo Cricket Club,24.2693,0.0023,0.5666,-0.9767,0.0521,0.005,0.4775,0.0889,0.1545
221,Vishwa Wijerathna,Kandy Customs Sports Club,72.0404,0.0057,0.3597,-0.5559,0.1792,0.0123,0.2177,0.17,0.1541
222,Yohan Liyanage,Ragama Cricket Club,91.3625,0.0177,0.2134,0.08,0.2306,0.0378,0.0342,0.2925,0.1522
223,Asanka Manoj,Panadura Sports Club,21.6368,0.0006,0.5921,-1.2254,0.0451,0.0013,0.5095,0.041,0.1518
224,Sheshan Fernando,Negombo Cricket Club,75.9066,0.0071,0.3052,-0.2107,0.1895,0.0151,0.1494,0.2365,0.1516
225,Sachithra Perera,Kandy Customs Sports Club,50.6142,0.0082,0.4314,-0.687,0.1222,0.0174,0.3078,0.1447,0.151
226,Rashmika Hirushan Perera,Police Sports Club,70.2605,0.0065,0.3052,-0.3633,0.1744,0.0139,0.1494,0.2071,0.1409
227,Kalhara Senarathna,Chilaw Marians Cricket Club,44.5605,0.002,0.4386,-0.8157,0.1061,0.0043,0.3169,0.1199,0.1405
228,Ranmith Jayasena,Ragama Cricket Club,66.0052,0.0361,0.2679,-0.3588,0.1631,0.0773,0.1026,0.2079,0.1375
229,Nipun Malinga,Nugegoda Sports and Welfare Club,50.3562,0.0144,0.3869,-0.7699,0.1215,0.0308,0.2519,0.1287,0.1371
230,Inuka Karannagoda,Colombo Cricket Club,79.3781,0.0068,0.2207,0.0416,0.1987,0.0146,0.0433,0.2851,0.136
231,Dinuka Dilshan,Moors Sports Club,63.3093,0.0036,0.3224,-0.4457,0.1559,0.0077,0.171,0.1912,0.1353
232,Senash Fernando,Sri Lanka Air Force Sports Club,53.1263,0.1288,0.1862,-0.4725,0.1288,0.2756,0.0,0.186,0.1346
233,Pawan Pathiraja,Ace Capital Cricket Club,73.5646,0.0025,0.2979,-0.6212,0.1832,0.0053,0.1403,0.1574,0.133
234,Sithum Dissanayake,Chilaw Marians Cricket Club,39.6314,0.0026,0.4241,-0.749,0.0929,0.0056,0.2987,0.1328,0.1329
235,Rashmika Madusanka,Kurunegala Youth Cricket Club,80.7004,0.0025,0.2679,-0.583,0.2022,0.0053,0.1026,0.1647,0.1323
236,Jason Perera,Nugegoda Sports and Welfare Club,50.2802,0.1213,0.2034,-0.529,0.1213,0.2594,0.0216,0.1751,0.1321
237,Gajitha Kotuwegoda,Burgher Recreation Club,66.1606,0.0039,0.3052,-0.5513,0.1635,0.0082,0.1494,0.1709,0.13
238,Udith Madushan,Colts Cricket Club,15.2555,0.0003,0.5321,-1.1054,0.0281,0.0007,0.4342,0.0641,0.1295
239,Murvin Abinash,Burgher Recreation Club,55.6495,0.0046,0.3397,-0.6924,0.1356,0.0098,0.1926,0.1437,0.1259
240,Hiran Jayasundara,Chilaw Marians Cricket Club,72.0582,0.0116,0.2307,-0.2214,0.1792,0.0248,0.0558,0.2344,0.1258
241,Danushka Sandaruwan,Negombo Cricket Club,32.131,0.0066,0.4314,-0.9397,0.073,0.0142,0.3078,0.096,0.1234
242,Nipun Premarathna,Police Sports Club,35.1706,0.0011,0.4214,-1.0468,0.0811,0.0024,0.2952,0.0754,0.118
243,Dilan Jayalath,Nugegoda Sports and Welfare Club,62.4869,0.0078,0.2679,-0.5084,0.1538,0.0167,0.1026,0.1791,0.1174
244,Suwath Mendis,Nugegoda Sports and Welfare Club,58.1464,0.0017,0.2924,-0.5696,0.1422,0.0036,0.1333,0.1673,0.116
245,Umega Chathuranga,Galle Cricket Club,35.5176,0.082,0.2552,-0.6169,0.082,0.1754,0.0866,0.1582,0.1132
246,Imithiyaz Slaza,Moors Sports Club,43.7038,0.0034,0.3597,-0.918,0.1038,0.0074,0.2177,0.1002,0.1125
247,Kaumal Nanayakkara,Chilaw Marians Cricket Club,23.4919,0.001,0.4286,-0.8886,0.05,0.0022,0.3043,0.1059,0.1124
248,Sahan Adeesha,Burgher Recreation Club,20.9515,0.001,0.4459,-1.1826,0.0432,0.0022,0.326,0.0492,0.1066
249,Kavindu Nirmana,Chilaw Marians Cricket Club,60.0815,0.0091,0.2207,-0.3008,0.1474,0.0195,0.0433,0.2191,0.1065
250,Dimuth Sandaruwan,Negombo Cricket Club,55.9457,0.0028,0.2679,-0.6027,0.1364,0.006,0.1026,0.161,0.1055
251,Vishva Lahiru Kumara,Panadura Sports Club,42.4903,0.0034,0.3124,-0.6681,0.1005,0.0073,0.1584,0.1484,0.1035
252,Dineth Thimodya,Nugegoda Sports and Welfare Club,69.8594,0.0019,0.2407,-0.8784,0.1734,0.0041,0.0684,0.1078,0.1035
253,Abishek Liyanarachchi,Badureliya Sports Club,55.7084,0.0024,0.2779,-0.7947,0.1357,0.0052,0.1152,0.124,0.1027
